WPS0001;1_8''x0,028 1Sektor
WPS0003;3 x 0,7
WPS0004;3,18 x 0,7 Emerson 1 Sektor
WPS0007;3,18 x 0,71
WPS0008;-3,18x0,71 2x2m Rohr
WPS0009;3,18x0,89 optimiert
WPS0011;6 x 1 KSC Heften
WPS0012;6,35 x 0,89 1 level
WPS0013;6,35 x 0,89 mit Bund 5H
WPS0015;6,35 x 0,89 mit Bund 8HPH
WPS0016;6,35 x 0,89 Schulung
WPS0017;6,35x 0,89_1 Sektor_16 Meter
WPS0018;6,35x0,89 8HPH
WPS0019;6,35-0,35_ATW_5H
WPS0020;6,35x0,035 6,35x0,049
WPS0021;6,35x0,89 heften
WPS0022;6,35x0,89 stumpfschweissung
WPS0023;6,35x0,89
WPS0024;6,35x0,89_MTR4
WPS0025;6,35x1,24
WPS0028;6,35 x 0,89 5H
WPS0029;6_35-0~1
WPS0031;6x1 - 6,35x0,89
WPS0032;6x1 4MRH
WPS0033;6x1 8HPH
WPS0034;6x1 FE W
WPS0036;6x1
WPS0037;8 x 1,5 BMW spezial, Notizen
WPS0038;8x1 8HPH
WPS0039;8x1 Single, Rahmen
WPS0040;8x1,5 Single, Rahmen
WPS0041;8x1
WPS0042;8x1-8x1,5 BMW
WPS0043;9,52 x 0,89 Single Behaelter
WPS0044;9,52 x 0,89 Wika
WPS0045;9,52 x 1,24
WPS0047;9,53 x 0,89 CU Versuch 2
WPS0048;9,53 x 0,89 CU Versuch
WPS0049;9,53 x 1,65 - 8 x 1 heften
WPS0050;9,53x0,89 5H
WPS0051;9,53x0,89 8HPH
WPS0052;9,525x1,65 5H
WPS0053;10 x 1 CU Versuch 20
WPS0054;10 x 1 CU-Rohr
WPS0055;10 x 1 Schulung
WPS0056;10 x 1,5
WPS0057;10 x 1,20 8HPH
WPS0058;10 x 1
WPS0059;10x1 - 9,53x1,65 Grenzebach
WPS0060;10x1 Single, Rahmen
WPS0061;10x1,5 5H
WPS0062;10x1
WPS0063;10x2 5H
WPS0064;10x2 Rahmen
WPS0065;12 x 1, BMW, Ansaugspinne
WPS0066;12 x 1,5 5H
WPS0067;12,7 x 0,89 - 13,0 x 0,89 BMW
WPS0068;12,7 x 0,89 5H
WPS0069;12,7 x 1,65
WPS0070;12,7x0,89_12,7x1,24
WPS0073;12,7x1,65
WPS0075;12x0,5 - 12x1,0 GeWo
WPS0076;12x1 1 Sektor 36 Meter
WPS0077;12x1 1 Sektor
WPS0078;12x1 CU
WPS0079;12x1 Single, Rahmen
WPS0080;12x1,0
WPS0081;12x1
WPS0082;12x1mm 8HPH
WPS0083;12x1test
WPS0085;15,0 x 1,5 10H
WPS0086;15x1,2 15x1,6 10h
WPS0087;15x1,2 15x1,6
WPS0088;15x1,5
WPS0089;16,0 x 1,0_MaxStreicher 9m Rohr
WPS0090;16x1,5 Catalytics
WPS0091;16x1,5 Single
WPS0092;16x1,5
WPS0093;18 x 1,5 10H
WPS0094;18 x 1,5_3D-Druck_BMW_Herr_Traub
WPS0095;18x1,5_10H
WPS0096;18x2,0
WPS0098;19,05x1,65
WPS0099;19,6 mm 10H
WPS0100;20X2
WPS0101;21,3 x 2,5 Flansch - Rohr
WPS0102;25,4x1,65 10H
WPS0103;25,4x2,11 10H
WPS0104;25X2
WPS0105;25x2_20H BEST-20-122
WPS0106;26,9 catalytics
WPS0107;28 x 1,5
WPS0108;28x1,5_29x2
WPS0109;33,7 x2,3 Druckluftverteiler
WPS0110;33,7 x 2,3
WPS0112;BN 6x1,00 8HPH
WPS0113;BN Kehlnaht 800 auf 60
WPS0114;BN12x10
WPS0115;ED 6x0,75 5H firma krp
WPS0116;ED 6x1 5H
WPS0117;HS 8MHR9
WPS0118;Singelmode Vorfuehrung 6,35
